Country,Job_Role,Work_From_Home,Coffee_Consumption,Productivity_Score,Sleep_Hours,Stress_Level,Age_Group
Australia,Product Manager,No,1.8663694565012887,99.63088773765821,8.5,2,36-45
USA,Product Manager,Yes,4.982321827907003,73.54708320235065,5.4,9,46-60
Germany,Sales Executive,No,5.476591228755779,48.00716213090429,4.5,8,60+
South Korea,Designer,No,1.642824290986816,66.81484618345286,5.4,6,46-60
South Korea,Product Manager,Yes,2.9193571441669954,83.74678715439086,7.7,10,26-35
Australia,Sales Executive,Yes,3.0897200603606434,79.56437308117651,7.2,4,36-45
Japan,Data Scientist,Yes,2.6916710028691755,60.03803037880566,5.3,3,26-35
Germany,HR Manager,Yes,0.5934285469001359,65.68004615160092,6.0,10,26-35
Brazil,Designer,No,4.880818012523817,64.24260813972414,5.4,2,46-60
USA,Product Manager,No,2.468660451363414,88.84524941794481,8.3,9,26-35
USA,Product Manager,Yes,0.9712800217929818,65.3522841288992,5.4,6,26-35
Germany,Sales Executive,Yes,3.3865904629255907,76.74880945275432,6.7,9,18-25
USA,Product Manager,No,1.7661897853087027,82.80525976566796,7.4,6,26-35
South Korea,Software Engineer,No,0.1,56.46218168979201,5.1,3,18-25
Japan,Sales Executive,Yes,2.3489991456227246,56.116143347158335,4.9,8,46-60
Australia,Designer,Yes,1.0752119190930245,100.0,8.9,1,36-45
Australia,Product Manager,Yes,2.869455021842329,63.504585938121906,5.1,7,26-35
France,Designer,No,3.9991466938853013,68.11222377600724,6.3,7,26-35
Brazil,Designer,Yes,0.6409764856474828,64.49666152714613,5.4,1,46-60
Germany,Designer,No,1.660147815855949,71.75693561685894,5.8,10,46-60
Brazil,Product Manager,Yes,1.596013679341691,76.65297359439315,7.5,5,18-25
UK,Sales Executive,No,1.9399720694450129,52.71680096189967,4.0,9,46-60
France,Product Manager,Yes,4.356758672625624,84.68688120527077,7.8,3,46-60
USA,Data Scientist,No,1.990743432003805,84.8529933429658,7.2,3,26-35
USA,Sales Executive,Yes,3.443523534119086,53.18370421728741,4.7,4,26-35
Australia,HR Manager,No,4.717631775985865,57.9755894966774,5.7,4,46-60
USA,HR Manager,Yes,2.4048306609581958,61.862287810584185,6.0,3,36-45
India,Sales Executive,Yes,5.167782820090299,86.24042473330691,7.6,8,26-35
South Korea,Software Engineer,No,4.28967733861732,92.2986125086074,8.1,1,18-25
South Korea,Sales Executive,No,4.087559866708875,74.47841687447796,6.9,2,26-35
Canada,HR Manager,No,2.875481980221811,60.19296229388687,4.7,5,18-25
Japan,Designer,No,3.187251401603744,89.6923996886552,8.8,7,26-35
USA,Designer,No,3.692032724469654,56.669601006763415,4.7,9,46-60
Canada,Data Scientist,Yes,0.5705759874083223,68.94491900118771,6.5,10,60+
South Korea,Product Manager,Yes,4.823844269050346,68.7408194609892,6.2,1,36-45
South Korea,Software Engineer,No,0.761419144243944,66.23699335658208,5.6,2,26-35
France,Data Scientist,Yes,3.157219417029375,80.69793317358024,7.5,2,18-25
Brazil,Sales Executive,No,4.580697802754207,85.07722227885087,7.7,1,36-45
USA,Software Engineer,Yes,5.22636574532736,98.0314640460722,8.3,10,36-45
USA,HR Manager,No,0.5018966879596645,88.11554065238425,8.1,10,26-35
Germany,Product Manager,Yes,3.620433669223151,100.0,8.9,7,46-60
Australia,Product Manager,No,3.336168926701116,72.35146572671191,6.8,1,46-60
Australia,Designer,No,1.0888731452011626,81.64902088957642,6.9,2,46-60
Australia,Designer,No,0.5570002470460451,100.0,8.4,1,46-60
India,Designer,No,1.9711445355220498,47.641777499363556,5.0,4,18-25
France,Data Scientist,Yes,4.250496324767067,78.01552372264761,7.2,8,18-25
UK,Product Manager,Yes,0.7483570765056162,76.8853606359027,6.4,9,46-60
Canada,Software Engineer,Yes,2.0671351232148716,56.984773069785035,4.8,8,36-45
France,Data Scientist,No,0.9257567317217232,87.85572936685655,7.6,9,60+
South Korea,Software Engineer,No,1.2337641023439618,72.9800740664209,6.6,8,18-25
Japan,Designer,Yes,4.382086980445025,56.4329489373645,4.6,3,36-45
India,Software Engineer,Yes,0.1,80.2216138230396,7.1,2,60+
Canada,Product Manager,Yes,1.6342814874030134,65.83891030829903,5.0,7,36-45
India,Software Engineer,Yes,5.055807439044445,63.272104216506065,5.2,8,46-60
Canada,Data Scientist,No,0.1,86.68801331037601,7.5,1,18-25
Germany,Product Manager,Yes,4.965640059558099,52.94061516938766,4.5,4,18-25
Canada,Product Manager,Yes,1.160970782808449,52.56196887963753,4.5,7,60+
India,HR Manager,No,3.1459879622393943,80.8372090609019,7.3,2,36-45
UK,Product Manager,Yes,0.8111653160214547,75.97226071189148,6.4,7,46-60
France,Sales Executive,Yes,3.645880388267751,52.895077595898684,4.5,8,18-25
